Step,eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return
5000,-105.096233967187,-222.986273181503,-129.795602799994,-287.73945419937,-150.517167710036
10000,1266.24974464916,33.3212825067209,1802.22604088447,926.020580385496,917.905139655359
15000,3004.99147481176,2451.22267260281,2943.69923395615,3337.54045227286,1895.35582938153
20000,3975.45738827615,3547.00993846427,4990.71073098013,3975.2698837453,2286.63262737674
25000,4539.53814803249,4530.09506967283,5572.8746547221,4863.91616397245,3012.77000243886
30000,5582.98842231595,5030.7519924641,5710.86449411077,5529.11122913682,4182.9073322996
35000,5979.13162552544,4859.20101513561,6069.48416239545,5653.27217382775,4489.88254187827
40000,6281.98605895288,5188.34830458794,5973.41251137466,6449.93211838522,5055.03561287718
45000,6691.00650356346,5918.27873195978,6044.33818423285,6548.19388452879,5438.15674992818
50000,6368.77451789878,5636.05249100538,6605.95006581493,6398.87453530004,5481.76309915979
55000,6306.19226684179,6176.33489366942,6837.26493729467,6479.45956154694,5507.37312035127
60000,6648.56101725557,6791.08454737306,7026.50531053727,7022.17049325516,6188.7396654696
65000,6616.29325846424,7096.90917571647,7158.84908273278,6871.99911148195,6519.12964727015
70000,7024.83399601108,7004.26350927545,7306.77718496905,6913.00647517486,7110.31021424588
75000,7459.63074844295,7014.09587779526,7476.93571971517,7058.24963250864,6867.20899369468
80000,7801.50039423338,7590.82201950186,7668.18347505558,7340.73290462858,7418.8946712815
85000,7519.6933879545,7554.83004480197,8163.62895331769,7348.68021776514,7634.44360080909
90000,7821.94248558151,8449.25029913712,8364.26284159335,7665.09393004788,7986.28791911206
95000,8316.52268792581,8777.61205009559,8723.9590624165,8168.32922087668,8138.16614435983
100000,8638.42040570529,8848.92574859517,8502.60449449583,8363.61403097587,8254.98196130649
105000,8623.67523154677,9215.72961311392,8742.61844367292,8566.57875292192,8333.58539170606
110000,8669.81015836179,9329.9718637693,9060.21608728912,8638.59968803422,8454.14155131988
115000,8746.54029501828,9286.77002621739,9197.85540950408,9135.81080894292,8449.57104477878
120000,8921.41596529638,9445.92533150833,9152.01885886699,9399.06921696784,8505.04110530035
125000,9018.68197736914,9118.80438146845,9611.85633315643,9279.62876240023,9016.90141268239
130000,9088.22336394042,9949.58090384992,9254.19693428143,9242.64705156284,8928.10774789872
135000,9220.34074406857,9974.28770614892,9972.66817343851,9760.43537985308,9130.0383976819
140000,8985.04895481999,9657.64637040299,9796.12183778191,9633.44843865391,9559.72635549587
145000,9327.28230561252,10250.8921711999,10044.1817952738,9561.86607255466,9278.226407606
150000,9398.07505947047,10117.621956194,10279.3441243986,9749.07752685867,9869.15940334535
155000,9098.08052075023,9953.20666004959,10100.1974078097,9951.21102575907,10099.2407278117
160000,9366.48663076645,10038.6708169573,10258.2789272016,9571.85508623431,10122.3419087248
165000,7943.92106770322,10137.1501981275,10291.8517486509,10094.8108972687,10297.4224827248
170000,9785.28735037684,9909.35846668167,10513.6686068216,10001.0641096496,10497.0014538784
175000,9636.93011134267,9889.65423593184,10469.5703584249,10168.578535696,10607.053666847
180000,9456.67689006921,10358.7744384407,10205.2103785549,10180.1893990747,10502.7583649477
185000,10148.139289424,10665.3132769681,10538.5609743087,10163.6375606134,10633.3389549641
190000,10355.5816465208,8336.23486944956,10859.165234533,10455.048450196,10854.4921080107
195000,9999.42684758633,10606.6554046015,10781.4695318427,10426.2363646238,10926.4652477358
200000,10335.7664704779,10489.1887055171,11227.6176376925,10958.6628782142,10932.0650442843
205000,10290.1527154294,10667.1962404898,11046.0800128392,10637.7083263003,11183.0135548799
210000,10741.9907839849,10328.9838416708,11295.9157129049,10864.076949564,10961.4922864617
215000,10850.09708355,10742.1142914079,11399.0068610472,10384.1369310782,11492.1666177754
220000,11063.0291010566,10762.8954134179,11034.0217619077,10809.3895834087,11491.793360033
225000,10695.9166487281,10452.3702634524,11101.0106592324,10639.7274256639,10969.3464503775
230000,11460.4595584398,10542.576611708,9454.79481387235,10673.6106623402,10966.4336889462
235000,11419.5512483545,11063.5071425325,11142.6685704326,11343.2403100414,11565.4582816578
240000,10910.776458959,10966.5149520396,11274.1828076675,11899.1033540948,11287.0030409499
245000,10995.694611354,10922.874480009,11262.0765657383,11654.4352461866,11296.7836867592
250000,10771.6431705719,10717.0520352641,11531.251450195,12150.7955882766,11546.8680621357
255000,11717.0597392397,10797.7296866715,11713.6375736391,11945.108676137,11712.1785324801
260000,11763.6143823204,11019.3781493485,11668.5286157625,11985.0741654379,12058.6397612584
265000,11289.3298327748,10520.9534967171,11535.1696598651,12069.8204937705,11690.5044303519
270000,11402.6251342353,5789.91176228222,11508.8436124999,12048.1523834952,11968.1938556025
275000,11440.6424023365,8795.98984409035,11469.8141041438,11968.8449757558,12143.8011612684
280000,11539.3979483313,11004.9895027576,12309.5513053887,12057.2752900783,12341.7205529303
285000,11788.9534182742,11106.5045760503,12083.0740339753,11558.8407365595,12308.2763326426
290000,11607.7101971195,11328.6612842321,12564.2551074162,12571.5085705631,12480.2443045448
295000,12128.6720249079,11534.4669751054,12530.8359485933,12177.3586429641,12443.3731821382
