Step,eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return,eval_episodic_return
5000,81.5956760115618,69.4282538869818,78.8647852975418,109.228327511243,75.4801727708685
10000,257.621913843872,244.504195920627,221.580939575344,305.265684405657,99.8510566680756
15000,81.5415667319411,240.735726237658,83.77718617575,180.279933146038,125.620025831162
20000,360.677661071047,203.4717246224,119.325917804518,178.792725892161,135.746490829824
25000,225.78814575649,249.837671470066,166.915765919265,137.588736029441,201.168202126533
30000,243.929498604625,295.163758818758,234.844004010573,206.738757545284,297.717744871353
35000,320.849088422508,229.77799329165,298.457320155642,224.759503513322,274.874826124756
40000,312.183433830344,338.945584998128,304.296663732098,288.531496975699,252.438029597
45000,340.095148333709,232.683189440478,341.733857182002,277.194684436759,275.516376806096
50000,365.814167473498,308.333863177696,247.429433276468,283.152893139246,320.044409333289
55000,426.047934608952,421.120424266377,269.37705372472,333.789321041251,448.1207668576
60000,427.429119858831,472.44479803169,460.796480120122,299.652527704432,302.976277547917
65000,392.98294462264,346.684097851791,342.73778377187,525.602748559174,402.891072124156
70000,502.753125352545,440.693197948187,589.805591182951,467.308012807841,355.265561052548
75000,522.810879318915,416.255085429474,454.482913234174,394.413507816712,516.498513394258
80000,479.930342255451,464.58024504015,547.003673527852,428.833932430162,421.20514553606
85000,461.947061751668,407.597578680457,429.253145848963,440.112554023192,435.354316768541
90000,456.781214088664,462.967150266566,509.489815709188,357.897360670617,428.266365388913
95000,433.535400013126,538.109762224554,479.231581127143,495.429752947145,462.895462170918
100000,509.352752855504,509.614386048096,410.565733353516,391.286481775409,541.522310571189
105000,506.979445322766,534.679769626345,489.446619134393,402.080118568889,534.181625679751
110000,532.129832601641,715.508783049643,417.252050251454,499.373000222201,510.855991340733
115000,657.338207943138,549.11753201835,420.466172333189,369.762372145609,431.56548104973
120000,560.355288291468,640.582500698508,540.859032947589,554.267430282846,379.005279987974
125000,490.185321132051,767.218024041762,723.202568061033,598.14327541164,425.641451280301
130000,549.849693931612,763.786227656587,857.167284855883,717.56436954051,475.254551867599
135000,938.586281592605,632.356004456722,735.199766967126,701.961925875999,625.067335694311
140000,683.524774988159,678.680753307654,819.7290847383,1021.24544510113,786.372020853031
145000,729.008177179392,699.576710841262,907.427934676436,646.785767297119,770.19464678869
150000,578.864216845976,1279.76471384253,779.326290018827,1008.62042716995,526.458841799756
155000,877.160659520955,1003.9847860169,1058.5610115292,637.949320217672,980.137373151997
160000,555.491647981727,795.853490957429,908.067889371016,996.031569905497,1120.13934704957
165000,698.301485188317,892.50423900502,1276.03553509611,938.005921944942,365.398569180721
170000,792.044539068204,826.409074262032,1110.85035065949,1533.61728307819,1136.2605692294
175000,243.956301613964,793.522779767325,1008.90282604225,2013.84342615459,930.984173787471
180000,642.854654277637,1552.89400832564,1517.21434741227,1966.23083874094,780.373383702142
185000,575.863135593374,1294.55296324614,1025.63012055172,3228.46760291432,1239.04494312931
190000,1023.24985921391,1898.03879816506,1700.94705452886,1970.29401085487,1804.94790300763
195000,2629.26632341838,3075.85710014414,2057.3987789967,2763.06433099305,2846.73769003971
200000,1378.14768706687,3915.59300604965,1450.96802850054,5190.56157076255,1877.98048663685
205000,3584.51535995055,2941.77700930515,1592.8219821445,4266.87962094325,3696.62826576285
210000,550.286072944488,2527.87661867682,2679.2144091693,5014.09257561064,4538.35380347614
215000,5061.92894495342,1939.00298459684,3228.89587062108,1601.048635031,2519.53847175835
220000,653.977444162176,3634.92155306892,3839.58148987023,6591.36639264901,3302.21368948136
225000,5516.08637293088,4895.63385838014,5530.14907992215,6509.89333796465,2638.51018997354
230000,2073.9470484263,5368.26924302718,4500.66158642989,5878.29978499776,4259.25806247124
235000,3623.42877886836,5116.51919015426,5223.50665417526,6292.44084194894,4927.30445717605
240000,1705.8353470164,5501.27504482391,5270.6396930162,6700.74386449429,6217.40956839464
245000,1125.98260471034,5568.12294385597,4392.35049694956,6379.48710269679,5474.79753163928
250000,5553.32216702142,5539.90953856468,5242.99528397039,6009.70553274085,5972.97579691811
255000,5728.77969337716,5572.36348883854,1488.28515319318,6409.04628799436,5298.08870020158
260000,5697.5781244652,5717.41169068989,4409.5106762358,6472.81247215895,4347.02242109135
265000,4305.36211400611,5634.03565148435,5271.03976118625,5912.18126990389,6391.97120018906
270000,5503.18395893302,5646.46794872733,5139.53492990576,6582.55254069475,6150.57398798922
275000,5023.04301818783,5535.22646842741,5006.74131200205,6627.65133285529,5050.13186775096
280000,961.41787998536,5632.9972583817,5272.02456961854,6490.70735726758,6087.86809688873
285000,1144.13534897153,5764.56301444546,5488.1815849774,6439.30934466475,2143.54434923054
290000,4273.14215125747,5741.1212126677,5375.77354889466,6512.70233579926,6170.43400503238
295000,3106.62093908083,5871.47724888588,5272.36951577756,6580.42463185881,2855.81275595097
300000,3892.02362481331,5884.74635620494,5304.09613926633,6613.6223216023,6056.97307587678
305000,1740.58012212499,5942.44281679686,5506.38921654336,6879.20641425294,6119.0345556509
310000,614.025092475915,5921.59836333913,5724.23202903383,6389.61361319999,6149.97320591885
315000,4078.3910807552,5937.74917897108,5717.61096446652,6899.85792102717,6236.35002246593
320000,1018.52032460543,5112.50294418244,5814.41747984721,7036.2032908713,6179.9015688024
325000,5403.2074555894,6074.94707662059,5950.11496131115,4758.64084775181,6334.64169207678
330000,4689.41405391352,5822.36398588465,5768.15654001609,6399.92401364936,6269.29757470123
335000,5759.48792334046,6197.74324939172,5609.69512005456,6485.12101787865,5477.48135563839
340000,5690.74422191425,5948.9641793919,5646.81632128822,6486.36911551769,6288.15074971684
345000,5194.5970826694,5921.56854969662,4487.54858594289,6423.66280392387,6365.66261802869
350000,5361.56866260056,5787.68016746621,5600.47575938502,6490.67223258202,6438.4524468769
355000,5105.05003903918,5877.94734361161,5584.89764331513,6220.56762280614,6587.41163093947
360000,4001.82008735834,5826.86213096032,5522.285490628,6200.12068752821,6637.6903740531
365000,502.742897529854,5802.3667086694,5674.49552863945,6428.02684833879,6486.07820311481
370000,510.81085193142,5747.20507458277,5820.67138928656,7124.60783269223,6485.37637189703
375000,1969.20966085618,5809.62432853495,5008.99397762468,7127.66572864804,6462.79398534173
380000,5547.59724066819,5980.24999693014,5845.55682700029,7103.26138012762,6749.87888289474
385000,5214.86025753002,5867.97577028967,5788.10416276706,7296.45926828838,6486.39676216919
390000,5660.02199789672,5935.13697967427,5049.85736378791,7204.95102137723,6399.00955694222
395000,5530.66127535326,5894.45942223547,5946.49489569537,7255.26732199081,6350.42782562697
400000,4828.40590435298,5787.82716367919,6014.80480250034,7158.82936499092,6262.76575308719
405000,4284.2631036757,5959.5461357402,3701.72765063245,7205.7050161307,6195.02865560642
410000,408.295592590789,5961.57021372626,5927.14983464924,5897.22557671164,4520.03972164932
415000,5442.90204396631,5838.57617919066,5921.74838443039,7198.77747250536,5473.39088181353
420000,5503.023316274,5823.64903537217,5856.22665627034,7067.8669874059,6710.63890444955
